"시점",에너지
"2005.01",67.50
"2005.02",67.85
"2005.03",67.93
"2005.04",69.86
"2005.05",70.15
"2005.06",70.43
"2005.07",72.95
"2005.08",73.44
"2005.09",74.88
"2005.10",75.31
"2005.11",74.88
"2005.12",74.59
"2006.01",76.38
"2006.02",76.81
"2006.03",77.03
"2006.04",78.25
"2006.05",78.67
"2006.06",78.67
"2006.07",80.33
"2006.08",80.82
"2006.09",80.75
"2006.10",78.46
"2006.11",76.67
"2006.12",76.53
"2007.01",76.17
"2007.02",76.24
"2007.03",77.17
"2007.04",78.39
"2007.05",79.89
"2007.06",80.33
"2007.07",81.11
"2007.08",81.33
"2007.09",83.47
"2007.10",84.55
"2007.11",87.42
"2007.12",89.71
"2008.01",89.92
"2008.02",90.00
"2008.03",91.43
"2008.04",94.73
"2008.05",99.95
"2008.06",105.33
"2008.07",107.48
"2008.08",104.04
"2008.09",102.03
"2008.10",99.81
"2008.11",93.08
"2008.12",87.64
"2009.01",85.06
"2009.02",86.20
"2009.03",86.70
"2009.04",87.84
"2009.05",86.56
"2009.06",89.57
"2009.07",93.23
"2009.08",95.22
"2009.09",94.87
"2009.10",93.51
"2009.11",95.66
"2009.12",95.66
"2010.01",96.34
"2010.02",95.87
"2010.03",97.29
"2010.04",98.59
"2010.05",98.51
"2010.06",98.15
"2010.07",98.06
"2010.08",98.70
"2010.09",98.88
"2010.10",101.84
"2010.11",101.19
"2010.12",103.66
"2011.01",106.74
"2011.02",107.54
"2011.03",111.01
"2011.04",112.29
"2011.05",112.63
"2011.06",111.83
"2011.07",113.32
"2011.08",114.37
"2011.09",115.13
"2011.10",117.74
"2011.11",117.46
"2011.12",118.71
"2012.01",119.92
"2012.02",121.07
"2012.03",122.78
"2012.04",123.22
"2012.05",120.77
"2012.06",118.00
"2012.07",116.74
"2012.08",120.79
"2012.09",122.26
"2012.10",121.03
"2012.11",119.32
"2012.12",118.47
"2013.01",119.49
"2013.02",123.19
"2013.03",122.38
"2013.04",120.98
"2013.05",120.05
"2013.06",120.41
"2013.07",121.43
"2013.08",121.15
"2013.09",121.05
"2013.10",119.92
"2013.11",120.27
"2013.12",122.53
"2014.01",122.73
"2014.02",124.13
"2014.03",124.00
"2014.04",122.97
"2014.05",122.44
"2014.06",122.05
"2014.07",121.47
"2014.08",120.12
"2014.09",119.50
"2014.10",117.40
"2014.11",115.68
"2014.12",110.91
"2015.01",103.99
"2015.02",104.68
"2015.03",103.20
"2015.04",101.83
"2015.05",101.18
"2015.06",101.55
"2015.07",99.59
"2015.08",97.26
"2015.09",97.38
"2015.10",97.47
"2015.11",96.77
"2015.12",95.11
"2016.01",90.01
"2016.02",89.28
"2016.03",88.15
"2016.04",88.60
"2016.05",89.11
"2016.06",90.53
"2016.07",88.70
"2016.08",87.67
"2016.09",87.89
"2016.10",90.76
"2016.11",92.30
"2016.12",93.33
"2017.01",96.35
"2017.02",95.72
"2017.03",95.65
"2017.04",95.81
"2017.05",95.36
"2017.06",94.25
"2017.07",94.60
"2017.08",95.38
"2017.09",96.70
"2017.10",97.31
"2017.11",96.74
"2017.12",97.26
"2018.01",98.02
"2018.02",98.08
"2018.03",97.53
"2018.04",98.59
"2018.05",100.50
"2018.06",100.93
"2018.07",101.69
"2018.08",101.99
"2018.09",104.39
"2018.10",105.53
"2018.11",102.85
"2018.12",99.10
"2019.01",97.46
"2019.02",98.48
"2019.03",100.43
"2019.04",101.95
"2019.05",102.74
"2019.06",101.20
"2019.07",100.94
"2019.08",101.32
"2019.09",102.02
"2019.10",102.02
"2019.11",101.85
"2019.12",102.22
"2020.01",102.39
"2020.02",100.04
"2020.03",94.51
"2020.04",88.00
"2020.05",86.58
"2020.06",90.46
"2020.07",87.87
"2020.08",88.52
"2020.09",87.59
"2020.10",86.20
"2020.11",86.58
"2020.12",89.70
"2021.01",90.74
"2021.02",92.76
"2021.03",96.50
"2021.04",96.40
"2021.05",96.95
"2021.06",98.49
"2021.07",100.00
"2021.08",100.87
"2021.09",102.90
"2021.10",109.72
"2021.11",113.87
"2021.12",112.23
"2022.01",116.05
"2022.02",119.86
"2022.03",127.74
"2022.04",137.49
"2022.05",140.09
"2022.06",145.76
"2022.07",146.71
"2022.08",144.71
"2022.09",146.08
"2022.10",155.45
"2022.11",154.41
"2022.12",148.42
