,date,index
1,2020-01-01,100.09
2,2020-02-01,100.16
3,2020-03-01,99.94
4,2020-04-01,99.5
5,2020-05-01,99.44
6,2020-06-01,99.71
7,2020-07-01,99.63
8,2020-08-01,100.19
9,2020-09-01,100.74
10,2020-10-01,100.18
11,2020-11-01,100.09
12,2020-12-01,100.33
13,2021-01-01,101.04
14,2021-02-01,101.58
15,2021-03-01,101.84
16,2021-04-01,101.98
17,2021-05-01,102.05
18,2021-06-01,102.05
19,2021-07-01,102.26
20,2021-08-01,102.75
21,2021-09-01,103.17
22,2021-10-01,103.35
23,2021-11-01,103.87
24,2021-12-01,104.04
25,2022-01-01,104.69
26,2022-02-01,105.3
27,2022-03-01,106.06
28,2022-04-01,106.85
29,2022-05-01,107.56
30,2022-06-01,108.22
31,2022-07-01,108.74
32,2022-08-01,108.62
33,2022-09-01,108.93
34,2022-10-01,109.21
35,2022-11-01,109.1
36,2022-12-01,109.28
37,2023-01-01,110.11
