"시점","구분2(1)","항목",외국선
"시점","구분2(1)","항목",외항입항
"시점","구분2(1)","항목",부산
"2020.01","컨테이너소계 (VAN)","계",222384
"2020.02","컨테이너소계 (VAN)","계",230764
"2020.03","컨테이너소계 (VAN)","계",269355
"2020.04","컨테이너소계 (VAN)","계",249006
"2020.05","컨테이너소계 (VAN)","계",208520
"2020.06","컨테이너소계 (VAN)","계",206585
"2020.07","컨테이너소계 (VAN)","계",213238
"2020.08","컨테이너소계 (VAN)","계",204704
"2020.09","컨테이너소계 (VAN)","계",216580
"2020.10","컨테이너소계 (VAN)","계",227704
"2020.11","컨테이너소계 (VAN)","계",227188
"2020.12","컨테이너소계 (VAN)","계",237699
"2021.01","컨테이너소계 (VAN)","계",234862
"2021.02","컨테이너소계 (VAN)","계",211967
"2021.03","컨테이너소계 (VAN)","계",280137
"2021.04","컨테이너소계 (VAN)","계",253701
"2021.05","컨테이너소계 (VAN)","계",252240
"2021.06","컨테이너소계 (VAN)","계",241845
"2021.07","컨테이너소계 (VAN)","계",226299
"2021.08","컨테이너소계 (VAN)","계",224049
"2021.09","컨테이너소계 (VAN)","계",217999
"2021.10","컨테이너소계 (VAN)","계",256279
"2021.11","컨테이너소계 (VAN)","계",214924
"2021.12","컨테이너소계 (VAN)","계",237030
"2022.01","컨테이너소계 (VAN)","계",243331
"2022.02","컨테이너소계 (VAN)","계",204848
"2022.03","컨테이너소계 (VAN)","계",252970
"2022.04","컨테이너소계 (VAN)","계",235164
"2022.05","컨테이너소계 (VAN)","계",257220
"2022.06","컨테이너소계 (VAN)","계",215580
"2022.07","컨테이너소계 (VAN)","계",231610
"2022.08","컨테이너소계 (VAN)","계",239973
"2022.09","컨테이너소계 (VAN)","계",186947
"2022.10","컨테이너소계 (VAN)","계",221016
"2022.11","컨테이너소계 (VAN)","계",227868
"2022.12","컨테이너소계 (VAN)","계",227125
